,0
85600,0.0
85601,0.0
85602,0.0
85603,0.0
85604,0.0
85605,0.0
85606,0.0
85607,0.0
85608,0.0
85609,0.0
85610,0.0
85611,0.0
85612,0.0
85613,0.0
85614,0.0
85615,0.0
85616,0.0
85617,0.0
85618,0.0
85619,0.0
85620,0.0
85621,0.0
85622,0.0
85623,0.0
85624,0.0
85625,0.0
85626,-1375.0
85627,-3625.0
85628,-3625.0
85629,-3625.0
85630,-3625.0
85631,-3625.0
85632,-5875.0
85633,-4000.0
85634,-2875.0
85635,-2875.0
85636,-2875.0
85637,-2875.0
85638,-2875.0
85639,-2875.0
85640,-2875.0
85641,-2875.0
85642,-2875.0
85643,-2875.0
85644,-2875.0
85645,-2875.0
85646,-2875.0
85647,-2875.0
85648,-2875.0
85649,-2875.0
85650,-2875.0
85651,-2875.0
85652,-2875.0
85653,-2875.0
85654,-2875.0
85655,-2875.0
85656,-2875.0
85657,-2875.0
85658,-2875.0
85659,-2875.0
85660,-2875.0
85661,-2875.0
85662,-2875.0
85663,-2875.0
85664,-2875.0
85665,-2875.0
85666,-2875.0
85667,-2875.0
85668,-2875.0
85669,-2875.0
85670,-2875.0
85671,-2875.0
85672,-2875.0
85673,-2875.0
85674,-2875.0
85675,-2875.0
85676,-2875.0
85677,-2875.0
85678,-2875.0
85679,-2875.0
85680,-2875.0
85681,-2875.0
85682,-2875.0
85683,-2875.0
85684,-2875.0
85685,-2875.0
85686,-2875.0
85687,-2875.0
85688,-2875.0
85689,-2750.0
85690,-2750.0
85691,-2750.0
85692,-2750.0
85693,-2750.0
85694,-2750.0
85695,-4000.0
85696,-4000.0
85697,-3625.0
85698,-2875.0
85699,-2375.0
85700,-2375.0
85701,-2375.0
85702,-2375.0
85703,-2375.0
85704,-2375.0
85705,-250.0
85706,-250.0
85707,-250.0
85708,-250.0
85709,-250.0
85710,-250.0
85711,-250.0
85712,-250.0
85713,-250.0
85714,-250.0
85715,-250.0
85716,-250.0
85717,-250.0
85718,-250.0
85719,762.5
85720,762.5
85721,762.5
85722,762.5
85723,762.5
85724,762.5
85725,762.5
85726,762.5
85727,762.5
85728,-137.5
85729,537.5
85730,-587.5
85731,-587.5
85732,-587.5
85733,-587.5
85734,-587.5
85735,-587.5
85736,-587.5
85737,-587.5
85738,-587.5
85739,-587.5
85740,-587.5
85741,-587.5
85742,-587.5
85743,-587.5
85744,-587.5
85745,-587.5
85746,-475.0
85747,650.0
85748,650.0
85749,650.0
85750,650.0
85751,650.0
85752,650.0
85753,650.0
85754,650.0
85755,650.0
85756,650.0
85757,650.0
85758,650.0
85759,650.0
85760,650.0
85761,650.0
85762,650.0
85763,650.0
85764,650.0
85765,650.0
85766,650.0
85767,650.0
85768,650.0
85769,650.0
85770,650.0
85771,650.0
85772,650.0
85773,650.0
85774,650.0
85775,650.0
85776,650.0
85777,650.0
85778,650.0
85779,650.0
85780,650.0
85781,650.0
85782,-6437.5
85783,-6437.5
85784,-4750.0
85785,-4750.0
85786,-4750.0
85787,-4750.0
85788,-4750.0
85789,-4750.0
85790,-4750.0
85791,-4750.0
85792,-4750.0
85793,-4750.0
85794,-4750.0
85795,-4750.0
85796,-4750.0
85797,-4750.0
85798,-4750.0
85799,-4750.0
85800,-4750.0
85801,-4750.0
85802,-4750.0
85803,-4750.0
85804,-4750.0
85805,-4750.0
85806,-4750.0
85807,-4750.0
85808,-4750.0
85809,-4750.0
85810,-4750.0
85811,-4750.0
85812,-4750.0
85813,-4750.0
85814,-4750.0
85815,-4750.0
85816,-4750.0
85817,-4750.0
85818,-4750.0
85819,-4750.0
85820,-4750.0
85821,-4750.0
85822,-4750.0
85823,-4750.0
85824,-4750.0
85825,-4750.0
85826,-4750.0
85827,-4750.0
85828,-4750.0
85829,-4750.0
85830,-4750.0
85831,-4750.0
85832,-4750.0
85833,-4750.0
85834,-4750.0
85835,-4750.0
85836,-4750.0
85837,-4750.0
85838,-4750.0
85839,-4750.0
85840,-4750.0
85841,-4750.0
85842,-4750.0
85843,-4750.0
85844,-4750.0
85845,-4750.0
85846,-4750.0
85847,-4750.0
85848,-4750.0
85849,-4750.0
85850,-4750.0
85851,-4750.0
85852,-4750.0
85853,-4750.0
85854,-4750.0
85855,-4750.0
85856,-4750.0
85857,-4750.0
85858,-4750.0
85859,-4750.0
85860,-4750.0
85861,-4750.0
85862,-4750.0
85863,-4750.0
85864,-4750.0
85865,-4750.0
85866,-4750.0
85867,-5275.0
85868,-7725.0
85869,-13150.0
85870,-9475.0
85871,-8600.0
85872,-5187.5
85873,-5100.0
85874,-3875.0
85875,-5712.5
85876,-8512.5
85877,-8512.5
85878,-9212.5
85879,-6412.5
85880,-6325.0
85881,-4137.5
85882,-4487.5
85883,-5275.0
85884,-5625.0
85885,-7462.5
85886,-8512.5
85887,-8425.0
85888,-8425.0
85889,-8425.0
85890,-6500.0
85891,-6500.0
85892,-6500.0
85893,-6500.0
85894,-6500.0
85895,-6500.0
85896,-6500.0
85897,-6500.0
85898,-6500.0
85899,-6500.0
85900,-6500.0
85901,-6500.0
85902,-6500.0
85903,-6500.0
85904,-6500.0
85905,-6500.0
85906,-6500.0
85907,-6850.0
85908,-5625.0
85909,-4050.0
85910,-5537.5
85911,-5362.5
85912,-5362.5
85913,-5362.5
