trade_id,entry_bar,exit_bar,entry_time,exit_time,direction,size,entry_price,exit_price,hold_bars,gross_pnl,commission,slippage_cost,net_pnl,entry_signal,exit_reason
1,28,34,2024-04-29 13:30:00+00:00,2024-04-29 14:00:00+00:00,LONG,10,5153.75,5144.5,6,-4625.0,25.0,250.0,-4900.0,toxic_cont,time_exit
2,95,101,2024-04-29 19:05:00+00:00,2024-04-29 19:35:00+00:00,LONG,10,5127.75,5132.75,6,2500.0,25.0,250.0,2225.0,toxic_cont,time_exit
3,104,114,2024-04-29 19:50:00+00:00,2024-04-30 14:10:00+00:00,LONG,10,5143.25,5137.25,10,-3000.0,25.0,250.0,-3275.0,toxic_cont,time_exit
4,127,131,2024-04-30 15:15:00+00:00,2024-04-30 15:35:00+00:00,LONG,9,5114.75,5110.5,4,-1912.5,22.5,225.0,-2160.0,toxic_cont,time_exit
5,145,148,2024-04-30 16:45:00+00:00,2024-04-30 17:00:00+00:00,LONG,9,5095.0,5096.25,3,562.5,22.5,225.0,315.0,toxic_cont,time_exit
6,262,279,2024-05-02 13:30:00+00:00,2024-05-02 14:55:00+00:00,SHORT,7,5072.25,5066.0,17,2187.5,17.5,175.0,1995.0,toxic_rev,time_exit
7,280,297,2024-05-02 15:00:00+00:00,2024-05-02 16:25:00+00:00,LONG,7,5066.25,5064.0,17,-787.5,17.5,175.0,-980.0,toxic_cont,time_exit
8,335,341,2024-05-02 19:35:00+00:00,2024-05-03 13:35:00+00:00,LONG,7,5086.75,5143.5,6,19862.5,17.5,175.0,19670.0,toxic_cont,time_exit
9,345,346,2024-05-03 13:55:00+00:00,2024-05-03 14:00:00+00:00,SHORT,7,5157.0,5140.75,1,5687.5,17.5,175.0,5495.0,toxic_rev,time_exit
10,350,370,2024-05-03 14:20:00+00:00,2024-05-03 16:00:00+00:00,LONG,7,5136.75,5148.25,20,4025.0,17.5,175.0,3832.5,toxic_cont,time_exit
11,371,373,2024-05-03 16:05:00+00:00,2024-05-03 16:15:00+00:00,LONG,7,5151.25,5147.25,2,-1400.0,17.5,175.0,-1592.5,toxic_cont,time_exit
12,416,424,2024-05-03 19:50:00+00:00,2024-05-06 14:00:00+00:00,LONG,7,5157.0,5182.75,8,9012.5,17.5,175.0,8820.0,toxic_cont,time_exit
13,494,501,2024-05-06 19:50:00+00:00,2024-05-07 13:55:00+00:00,LONG,8,5203.0,5212.75,7,3900.0,20.0,200.0,3680.0,toxic_cont,time_exit
