trade_id,entry_bar,exit_bar,entry_time,exit_time,direction,size,entry_price,exit_price,hold_bars,gross_pnl,commission,slippage_cost,net_pnl,entry_signal,exit_reason
1,221,225,2024-05-08 12:20:00+00:00,2024-05-08 12:40:00+00:00,LONG,10,2325.6,2323.8,4,-179.99999999997272,25.0,20.0,-224.99999999997272,toxic_cont,time_exit
2,232,234,2024-05-08 13:15:00+00:00,2024-05-08 13:25:00+00:00,SHORT,10,2315.0,2315.7,2,-69.99999999998181,25.0,20.0,-114.99999999998181,toxic_rev,time_exit
3,235,240,2024-05-08 13:30:00+00:00,2024-05-08 13:55:00+00:00,LONG,10,2318.1,2317.4,5,-69.99999999998181,25.0,20.0,-114.99999999998181,toxic_cont,time_exit
4,241,242,2024-05-08 14:00:00+00:00,2024-05-08 14:05:00+00:00,LONG,10,2319.6,2319.0,1,-59.999999999990905,25.0,20.0,-104.9999999999909,toxic_cont,time_exit
5,243,248,2024-05-08 14:10:00+00:00,2024-05-08 14:35:00+00:00,LONG,10,2320.9,2324.1,5,319.9999999999818,25.0,20.0,274.9999999999818,toxic_cont,time_exit
6,259,261,2024-05-08 15:30:00+00:00,2024-05-08 15:40:00+00:00,LONG,10,2326.2,2325.0,2,-119.99999999998181,25.0,20.0,-164.9999999999818,toxic_cont,time_exit
7,282,285,2024-05-08 17:25:00+00:00,2024-05-09 12:30:00+00:00,LONG,10,2322.5,2329.9,3,740.0000000000091,25.0,20.0,695.0000000000091,toxic_cont,time_exit
8,407,412,2024-05-13 12:20:00+00:00,2024-05-13 12:45:00+00:00,SHORT,10,2353.6,2353.2999999999997,5,30.00000000001819,25.0,20.0,-14.99999999998181,toxic_rev,time_exit
9,415,416,2024-05-13 13:00:00+00:00,2024-05-13 13:05:00+00:00,LONG,10,2354.7,2351.9,1,-279.9999999999727,25.0,20.0,-324.9999999999727,toxic_cont,time_exit
10,421,426,2024-05-13 13:30:00+00:00,2024-05-13 13:55:00+00:00,LONG,10,2354.0,2349.9,5,-409.9999999999909,25.0,20.0,-454.9999999999909,toxic_cont,time_exit
11,431,434,2024-05-13 14:20:00+00:00,2024-05-13 14:35:00+00:00,LONG,10,2350.9,2348.3,3,-259.9999999999909,25.0,20.0,-304.9999999999909,toxic_cont,time_exit
12,436,437,2024-05-13 14:45:00+00:00,2024-05-13 14:50:00+00:00,LONG,10,2350.5,2349.8,1,-69.99999999998181,25.0,20.0,-114.99999999998181,toxic_cont,time_exit
13,439,440,2024-05-13 15:00:00+00:00,2024-05-13 15:05:00+00:00,SHORT,10,2343.0,2342.5,1,50.0,25.0,20.0,5.0,toxic_rev,time_exit
14,441,446,2024-05-13 15:10:00+00:00,2024-05-13 15:35:00+00:00,LONG,10,2343.5,2339.8,5,-369.9999999999818,25.0,20.0,-414.9999999999818,toxic_cont,time_exit
15,473,478,2024-05-14 12:40:00+00:00,2024-05-14 13:05:00+00:00,LONG,10,2352.5,2354.3,5,180.0000000000182,25.0,20.0,135.0000000000182,toxic_cont,time_exit
