,0
85602,0.0
85603,0.0
85604,0.0
85605,0.0
85606,0.0
85607,0.0
85608,0.0
85609,0.0
85610,0.0
85611,0.0
85612,0.0
85613,0.0
85614,0.0
85615,0.0
85616,0.0
85617,0.0
85618,0.0
85619,0.0
85620,0.0
85621,0.0
85622,0.0
85623,0.0
85624,0.0
85625,0.0
85626,0.0
85627,0.0
85628,0.0
85629,0.0
85630,1015.0
85631,605.0
85632,605.0
85633,605.0
85634,710.0
85635,1060.0
85636,1190.0
85637,1190.0
85638,1190.0
85639,1190.0
85640,1190.0
85641,1190.0
85642,1190.0
85643,1190.0
85644,1190.0
85645,1190.0
85646,1190.0
85647,1190.0
85648,1190.0
85649,1190.0
85650,1190.0
85651,1190.0
85652,1190.0
85653,1190.0
85654,1190.0
85655,1190.0
85656,1190.0
85657,1190.0
85658,1190.0
85659,1190.0
85660,1190.0
85661,1190.0
85662,1190.0
85663,1190.0
85664,1190.0
85665,1190.0
85666,1190.0
85667,1190.0
85668,1190.0
85669,1190.0
85670,1190.0
85671,1190.0
85672,1190.0
85673,1190.0
85674,1190.0
85675,1190.0
85676,1190.0
85677,1190.0
85678,1190.0
85679,1190.0
85680,1190.0
85681,1190.0
85682,1190.0
85683,1190.0
85684,1190.0
85685,1190.0
85686,1190.0
85687,1190.0
85688,1190.0
85689,1090.0
85690,1090.0
85691,1090.0
85692,1090.0
85693,1090.0
85694,1090.0
85695,885.0
85696,885.0
85697,885.0
85698,885.0
85699,885.0
85700,885.0
85701,885.0
85702,885.0
85703,885.0
85704,885.0
85705,1105.0
85706,40.0
85707,40.0
85708,750.0
85709,315.0
85710,380.0
85711,515.0
85712,515.0
85713,515.0
85714,515.0
85715,515.0
85716,515.0
85717,515.0
85718,515.0
85719,625.0
85720,625.0
85721,625.0
85722,625.0
85723,625.0
85724,625.0
85725,625.0
85726,625.0
85727,625.0
85728,385.0
85729,490.0
85730,490.0
85731,490.0
85732,490.0
85733,490.0
85734,490.0
85735,490.0
85736,490.0
85737,490.0
85738,490.0
85739,490.0
85740,490.0
85741,490.0
85742,490.0
85743,490.0
85744,490.0
85745,490.0
85746,490.0
85747,490.0
85748,490.0
85749,490.0
85750,490.0
85751,490.0
85752,490.0
85753,490.0
85754,490.0
85755,490.0
85756,490.0
85757,490.0
85758,490.0
85759,490.0
85760,490.0
85761,490.0
85762,490.0
85763,490.0
85764,490.0
85765,490.0
85766,490.0
85767,490.0
85768,490.0
85769,490.0
85770,490.0
85771,490.0
85772,490.0
85773,490.0
85774,490.0
85775,490.0
85776,490.0
85777,490.0
85778,490.0
85779,490.0
85780,490.0
85781,490.0
85782,490.0
85783,490.0
85784,2090.0
85785,1890.0
85786,2010.0
85787,2170.0
85788,2170.0
85789,2170.0
85790,2170.0
85791,2170.0
85792,2170.0
85793,2340.0
85794,2340.0
