trade_id,entry_bar,exit_bar,entry_time,exit_time,direction,size,entry_price,exit_price,hold_bars,gross_pnl,commission,slippage_cost,net_pnl,entry_signal,exit_reason
1,27,29,2024-04-29 13:35:00+00:00,2024-04-29 13:45:00+00:00,SHORT,10,17896.25,17866.5,2,595.0,25.0,10.0,560.0,toxic_rev,time_exit
2,31,34,2024-04-29 13:55:00+00:00,2024-04-29 14:10:00+00:00,LONG,10,17867.25,17896.0,3,575.0,25.0,10.0,540.0,toxic_cont,time_exit
3,86,87,2024-04-29 18:30:00+00:00,2024-04-29 18:35:00+00:00,SHORT,10,17856.25,17861.75,1,-110.0,25.0,10.0,-145.0,toxic_rev,time_exit
4,92,93,2024-04-29 19:00:00+00:00,2024-04-29 19:05:00+00:00,SHORT,10,17815.0,17825.75,1,-215.0,25.0,10.0,-250.0,toxic_rev,time_exit
5,102,104,2024-04-29 19:50:00+00:00,2024-04-30 13:30:00+00:00,LONG,10,17894.5,17851.75,2,-855.0,25.0,10.0,-890.0,toxic_cont,time_exit
6,105,109,2024-04-30 13:35:00+00:00,2024-04-30 13:55:00+00:00,LONG,10,17847.5,17870.75,4,465.0,25.0,10.0,430.0,toxic_cont,time_exit
7,116,117,2024-04-30 14:30:00+00:00,2024-04-30 14:35:00+00:00,LONG,10,17837.5,17842.5,1,100.0,25.0,10.0,65.0,toxic_cont,time_exit
8,125,127,2024-04-30 15:15:00+00:00,2024-04-30 15:25:00+00:00,LONG,10,17778.25,17771.0,2,-145.0,25.0,10.0,-180.0,toxic_cont,time_exit
9,181,185,2024-04-30 19:55:00+00:00,2024-05-01 13:45:00+00:00,SHORT,10,17563.25,17479.75,4,1670.0,25.0,10.0,1635.0,toxic_rev,time_exit
10,190,191,2024-05-01 14:10:00+00:00,2024-05-01 14:15:00+00:00,LONG,10,17451.25,17459.25,1,160.0,25.0,10.0,125.0,toxic_cont,time_exit
11,195,198,2024-05-01 14:35:00+00:00,2024-05-01 14:50:00+00:00,LONG,10,17492.25,17493.0,3,15.0,25.0,10.0,-20.0,toxic_cont,time_exit
12,212,213,2024-05-01 16:00:00+00:00,2024-05-01 16:05:00+00:00,LONG,10,17429.0,17434.75,1,115.0,25.0,10.0,80.0,toxic_cont,time_exit
13,237,238,2024-05-01 18:05:00+00:00,2024-05-01 18:10:00+00:00,SHORT,10,17487.75,17484.25,1,70.0,25.0,10.0,35.0,toxic_rev,time_exit
14,239,242,2024-05-01 18:15:00+00:00,2024-05-01 18:30:00+00:00,LONG,10,17495.0,17547.75,3,1055.0,25.0,10.0,1020.0,toxic_cont,time_exit
15,249,254,2024-05-01 19:05:00+00:00,2024-05-01 19:30:00+00:00,LONG,10,17761.0,17644.25,5,-2335.0,25.0,10.0,-2370.0,toxic_cont,time_exit
16,255,263,2024-05-01 19:35:00+00:00,2024-05-02 13:45:00+00:00,SHORT,10,17566.0,17492.75,8,1465.0,25.0,10.0,1430.0,toxic_rev,time_exit
17,264,279,2024-05-02 13:50:00+00:00,2024-05-02 15:05:00+00:00,LONG,10,17507.75,17557.5,15,995.0,25.0,10.0,960.0,toxic_cont,time_exit
