trade_id,entry_bar,exit_bar,entry_time,exit_time,direction,size,entry_price,exit_price,hold_bars,gross_pnl,commission,slippage_cost,net_pnl,entry_signal,exit_reason
1,25,27,2024-04-26 19:45:00+00:00,2024-04-26 19:55:00+00:00,LONG,10,5137.0,5129.25,2,-3875.0,25.0,250.0,-4150.0,toxic_cont,time_exit
2,88,89,2024-04-29 18:30:00+00:00,2024-04-29 18:35:00+00:00,SHORT,10,5136.5,5136.75,1,-125.0,25.0,250.0,-400.0,toxic_rev,time_exit
3,94,95,2024-04-29 19:00:00+00:00,2024-04-29 19:05:00+00:00,SHORT,10,5124.75,5127.75,1,-1500.0,25.0,250.0,-1775.0,toxic_rev,time_exit
4,96,99,2024-04-29 19:10:00+00:00,2024-04-29 19:25:00+00:00,LONG,10,5129.5,5132.25,3,1375.0,25.0,250.0,1100.0,toxic_cont,time_exit
5,104,105,2024-04-29 19:50:00+00:00,2024-04-29 19:55:00+00:00,LONG,10,5143.25,5147.0,1,1875.0,25.0,250.0,1600.0,toxic_cont,time_exit
6,106,107,2024-04-30 13:30:00+00:00,2024-04-30 13:35:00+00:00,LONG,9,5133.25,5132.75,1,-225.0,22.5,225.0,-472.5,toxic_cont,time_exit
7,127,130,2024-04-30 15:15:00+00:00,2024-04-30 15:30:00+00:00,LONG,9,5114.75,5111.25,3,-1575.0,22.5,225.0,-1822.5,toxic_cont,time_exit
8,145,147,2024-04-30 16:45:00+00:00,2024-04-30 16:55:00+00:00,LONG,9,5095.0,5097.25,2,1012.5,22.5,225.0,765.0,toxic_cont,time_exit
9,181,182,2024-04-30 19:45:00+00:00,2024-04-30 19:50:00+00:00,LONG,9,5096.0,5079.75,1,-7312.5,22.5,225.0,-7560.0,toxic_cont,time_exit
10,183,184,2024-04-30 19:55:00+00:00,2024-05-01 13:30:00+00:00,SHORT,9,5064.75,5061.5,1,1462.5,22.5,225.0,1215.0,toxic_rev,time_exit
11,266,281,2024-05-02 13:50:00+00:00,2024-05-02 15:05:00+00:00,LONG,7,5062.75,5072.0,15,3237.5,17.5,175.0,3045.0,toxic_cont,time_exit
12,282,289,2024-05-02 15:10:00+00:00,2024-05-02 15:45:00+00:00,LONG,7,5071.5,5063.5,7,-2800.0,17.5,175.0,-2992.5,toxic_cont,time_exit
13,306,311,2024-05-02 17:10:00+00:00,2024-05-02 17:35:00+00:00,LONG,7,5076.0,5078.75,5,962.5,17.5,175.0,770.0,toxic_cont,time_exit
14,328,329,2024-05-02 19:00:00+00:00,2024-05-02 19:05:00+00:00,LONG,7,5093.75,5098.5,1,1662.5,17.5,175.0,1470.0,toxic_cont,time_exit
15,335,339,2024-05-02 19:35:00+00:00,2024-05-02 19:55:00+00:00,LONG,7,5086.75,5091.5,4,1662.5,17.5,175.0,1470.0,toxic_cont,time_exit
16,340,345,2024-05-03 13:30:00+00:00,2024-05-03 13:55:00+00:00,SHORT,7,5142.75,5157.5,5,-5162.5,17.5,175.0,-5355.0,toxic_rev,time_exit
17,346,347,2024-05-03 14:00:00+00:00,2024-05-03 14:05:00+00:00,SHORT,7,5140.25,5142.75,1,-875.0,17.5,175.0,-1067.5,toxic_rev,time_exit
18,350,365,2024-05-03 14:20:00+00:00,2024-05-03 15:35:00+00:00,LONG,7,5136.75,5144.5,15,2712.5,17.5,175.0,2520.0,toxic_cont,time_exit
19,416,417,2024-05-03 19:50:00+00:00,2024-05-03 19:55:00+00:00,LONG,7,5157.0,5154.0,1,-1050.0,17.5,175.0,-1242.5,toxic_cont,time_exit
20,418,423,2024-05-06 13:30:00+00:00,2024-05-06 13:55:00+00:00,LONG,8,5177.5,5183.25,5,2300.0,20.0,200.0,2080.0,toxic_cont,time_exit
21,452,453,2024-05-06 16:20:00+00:00,2024-05-06 16:25:00+00:00,LONG,8,5180.75,5182.75,1,800.0,20.0,200.0,580.0,toxic_cont,time_exit
22,477,478,2024-05-06 18:25:00+00:00,2024-05-06 18:30:00+00:00,LONG,8,5197.75,5197.0,1,-300.0,20.0,200.0,-520.0,toxic_cont,time_exit
