,0
85600,0.0
85601,0.0
85602,0.0
85603,0.0
85604,0.0
85605,0.0
85606,0.0
85607,0.0
85608,0.0
85609,0.0
85610,0.0
85611,0.0
85612,0.0
85613,0.0
85614,0.0
85615,0.0
85616,0.0
85617,0.0
85618,0.0
85619,0.0
85620,0.0
85621,0.0
85622,0.0
85623,0.0
85624,0.0
85625,0.0
85626,-1375.0
85627,-3625.0
85628,-3625.0
85629,-3625.0
85630,-3625.0
85631,-3625.0
85632,-3625.0
85633,-3625.0
85634,-3625.0
85635,-3625.0
85636,-3625.0
85637,-3625.0
85638,-3625.0
85639,-3625.0
85640,-3625.0
85641,-3625.0
85642,-3625.0
85643,-3625.0
85644,-3625.0
85645,-3625.0
85646,-3625.0
85647,-3625.0
85648,-3625.0
85649,-3625.0
85650,-3625.0
85651,-3625.0
85652,-3625.0
85653,-3625.0
85654,-3625.0
85655,-3625.0
85656,-3625.0
85657,-3625.0
85658,-3625.0
85659,-3625.0
85660,-3625.0
85661,-3625.0
85662,-3625.0
85663,-3625.0
85664,-3625.0
85665,-3625.0
85666,-3625.0
85667,-3625.0
85668,-3625.0
85669,-3625.0
85670,-3625.0
85671,-3625.0
85672,-3625.0
85673,-3625.0
85674,-3625.0
85675,-3625.0
85676,-3625.0
85677,-3625.0
85678,-3625.0
85679,-3625.0
85680,-3625.0
85681,-3625.0
85682,-3625.0
85683,-3625.0
85684,-3625.0
85685,-3625.0
85686,-3625.0
85687,-3625.0
85688,-3625.0
85689,-3525.0
85690,-3525.0
85691,-3525.0
85692,-3525.0
85693,-3525.0
85694,-3525.0
85695,-4525.0
85696,-4525.0
85697,-4225.0
85698,-3625.0
85699,-3225.0
85700,-3225.0
85701,-3225.0
85702,-3225.0
85703,-3225.0
85704,-3225.0
85705,-1525.0
85706,-1525.0
85707,-1525.0
85708,-1525.0
85709,-1525.0
85710,-1525.0
85711,-1525.0
85712,-1525.0
85713,-1525.0
85714,-1525.0
85715,-1525.0
85716,-1525.0
85717,-1525.0
85718,-1525.0
85719,-1525.0
85720,-1525.0
85721,-1525.0
85722,-1525.0
85723,-1525.0
85724,-1525.0
85725,-1525.0
85726,-1525.0
85727,-1525.0
85728,-2325.0
85729,-1725.0
85730,-2725.0
85731,-2725.0
85732,-2725.0
85733,-2725.0
85734,-2725.0
85735,-2725.0
85736,-2725.0
85737,-2725.0
85738,-2725.0
85739,-2725.0
85740,-2725.0
85741,-2725.0
85742,-2725.0
85743,-2725.0
85744,-2725.0
85745,-2725.0
85746,-2625.0
85747,-1625.0
85748,-1625.0
85749,-1625.0
85750,-1625.0
85751,-1625.0
85752,-1625.0
85753,-1625.0
85754,-1625.0
85755,-1625.0
85756,-1625.0
85757,-1625.0
85758,-1625.0
85759,-1625.0
85760,-1625.0
85761,-1625.0
85762,-1625.0
85763,-1625.0
85764,-1625.0
85765,-1625.0
85766,-1625.0
85767,-1625.0
85768,-1625.0
85769,-1625.0
85770,-1625.0
85771,-1625.0
85772,-1625.0
85773,-1625.0
85774,-1625.0
85775,-1625.0
85776,-1625.0
85777,-1625.0
85778,-1625.0
85779,-1625.0
85780,-1625.0
85781,-1625.0
85782,-8712.5
85783,-8712.5
85784,-7025.0
85785,-7025.0
85786,-7025.0
85787,-7025.0
85788,-8375.0
85789,-7812.5
85790,-7812.5
85791,-7812.5
85792,-7812.5
85793,-7812.5
85794,-7812.5
85795,-7812.5
85796,-7812.5
85797,-7812.5
85798,-7812.5
85799,-7812.5
85800,-7812.5
85801,-7812.5
85802,-7812.5
85803,-7812.5
85804,-7812.5
85805,-7812.5
85806,-7812.5
85807,-7812.5
85808,-7812.5
85809,-7812.5
85810,-7812.5
85811,-7812.5
85812,-7812.5
85813,-7812.5
85814,-7812.5
85815,-7812.5
85816,-7812.5
85817,-7812.5
85818,-7812.5
85819,-7812.5
85820,-7812.5
85821,-7812.5
85822,-7812.5
85823,-7812.5
85824,-7812.5
85825,-7812.5
85826,-7812.5
85827,-7812.5
85828,-7812.5
85829,-7812.5
85830,-7812.5
85831,-7812.5
85832,-7812.5
85833,-7812.5
85834,-7812.5
85835,-7812.5
85836,-7812.5
85837,-7812.5
85838,-7812.5
85839,-7812.5
85840,-7812.5
85841,-7812.5
85842,-7812.5
85843,-7812.5
85844,-7812.5
85845,-7812.5
85846,-7812.5
85847,-7812.5
85848,-7812.5
85849,-7812.5
85850,-7812.5
85851,-7812.5
85852,-7812.5
85853,-7812.5
85854,-7812.5
85855,-7812.5
85856,-7812.5
85857,-7812.5
85858,-7812.5
85859,-7812.5
85860,-7812.5
85861,-7812.5
85862,-7812.5
85863,-7812.5
85864,-7812.5
85865,-7812.5
85866,-7812.5
85867,-7812.5
85868,-7812.5
85869,-7812.5
85870,-7812.5
85871,-7812.5
85872,-7812.5
85873,-7812.5
85874,-7812.5
85875,-7812.5
85876,-7812.5
85877,-7812.5
85878,-7812.5
85879,-7812.5
85880,-7812.5
85881,-7812.5
85882,-7812.5
85883,-7812.5
85884,-7812.5
85885,-7812.5
85886,-7812.5
85887,-7812.5
85888,-7812.5
85889,-7812.5
85890,-7812.5
85891,-7812.5
85892,-7812.5
85893,-7812.5
85894,-7812.5
85895,-7812.5
85896,-7812.5
85897,-7812.5
85898,-7812.5
85899,-7812.5
85900,-7812.5
