,0
85600,0.0
85601,0.0
85602,0.0
85603,0.0
85604,0.0
85605,0.0
85606,0.0
85607,0.0
85608,0.0
85609,0.0
85610,0.0
85611,0.0
85612,0.0
85613,0.0
85614,0.0
85615,0.0
85616,0.0
85617,0.0
85618,0.0
85619,0.0
85620,0.0
85621,0.0
85622,0.0
85623,0.0
85624,0.0
85625,0.0
85626,-1375.0
85627,-3625.0
85628,-3625.0
85629,-3625.0
85630,-3625.0
85631,-3625.0
85632,-3625.0
85633,-3625.0
85634,-3625.0
85635,-3625.0
85636,-3625.0
85637,-3625.0
85638,-3625.0
85639,-3625.0
85640,-3625.0
85641,-3625.0
85642,-3625.0
85643,-3625.0
85644,-3625.0
85645,-3625.0
85646,-3625.0
85647,-3625.0
85648,-3625.0
85649,-3625.0
85650,-3625.0
85651,-3625.0
85652,-3625.0
85653,-3625.0
85654,-3625.0
85655,-3625.0
85656,-3625.0
85657,-3625.0
85658,-3625.0
85659,-3625.0
85660,-3625.0
85661,-3625.0
85662,-3625.0
85663,-3625.0
85664,-3625.0
85665,-3625.0
85666,-3625.0
85667,-3625.0
85668,-3625.0
85669,-3625.0
85670,-3625.0
85671,-3625.0
85672,-3625.0
85673,-3625.0
85674,-3625.0
85675,-3625.0
85676,-3625.0
85677,-3625.0
85678,-3625.0
85679,-3625.0
85680,-3625.0
85681,-3625.0
85682,-3625.0
85683,-3625.0
85684,-3625.0
85685,-3625.0
85686,-3625.0
85687,-3625.0
85688,-3625.0
85689,-3500.0
85690,-3500.0
85691,-3500.0
85692,-3500.0
85693,-3500.0
85694,-3500.0
85695,-4750.0
85696,-4750.0
85697,-4375.0
85698,-3625.0
85699,-3125.0
85700,-3125.0
85701,-3125.0
85702,-3125.0
85703,-3125.0
85704,-3125.0
85705,-1000.0
85706,-1000.0
85707,-1000.0
85708,-1000.0
85709,-1000.0
85710,-1000.0
85711,-1000.0
85712,-1000.0
85713,-1000.0
85714,-1000.0
85715,-1000.0
85716,-1000.0
85717,-1000.0
85718,-1000.0
85719,-1000.0
85720,-1000.0
85721,-1000.0
85722,-1000.0
85723,-1000.0
85724,-1000.0
85725,-1000.0
85726,-1000.0
85727,-1000.0
85728,-1900.0
85729,-1225.0
85730,-2350.0
85731,-2350.0
85732,-2350.0
85733,-2350.0
85734,-2350.0
85735,-2350.0
85736,-2350.0
85737,-2350.0
85738,-2350.0
85739,-2350.0
85740,-2350.0
85741,-2350.0
85742,-2350.0
85743,-2350.0
85744,-2350.0
85745,-2350.0
85746,-2237.5
85747,-1112.5
85748,-1112.5
85749,-1112.5
85750,-1112.5
85751,-1112.5
85752,-1112.5
85753,-1112.5
85754,-1112.5
85755,-1112.5
85756,-1112.5
85757,-1112.5
85758,-1112.5
85759,-1112.5
85760,-1112.5
85761,-1112.5
85762,-1112.5
85763,-1112.5
85764,-1112.5
85765,-1112.5
85766,-1112.5
85767,-1112.5
85768,-1112.5
85769,-1112.5
85770,-1112.5
85771,-1112.5
85772,-1112.5
85773,-1112.5
85774,-1112.5
85775,-1112.5
85776,-1112.5
85777,-1112.5
85778,-1112.5
85779,-1112.5
85780,-1112.5
85781,-1112.5
85782,-8200.0
85783,-8200.0
85784,-6512.5
85785,-6512.5
85786,-6512.5
85787,-6512.5
85788,-6512.5
85789,-6512.5
85790,-6512.5
85791,-6512.5
85792,-6512.5
85793,-6512.5
85794,-6512.5
85795,-6512.5
85796,-6512.5
85797,-6512.5
85798,-6512.5
85799,-6512.5
85800,-6512.5
85801,-6512.5
85802,-6512.5
85803,-6512.5
85804,-6512.5
85805,-6512.5
85806,-6512.5
85807,-6512.5
85808,-6512.5
85809,-6512.5
85810,-6512.5
85811,-6512.5
85812,-6512.5
85813,-6512.5
85814,-6512.5
85815,-6512.5
85816,-6512.5
85817,-6512.5
85818,-6512.5
85819,-6512.5
85820,-6512.5
85821,-6512.5
85822,-6512.5
85823,-6512.5
85824,-6512.5
85825,-6512.5
85826,-6512.5
85827,-6512.5
85828,-6512.5
85829,-6512.5
85830,-6512.5
85831,-6512.5
85832,-6512.5
85833,-6512.5
85834,-6512.5
85835,-6512.5
85836,-6512.5
85837,-6512.5
85838,-6512.5
85839,-6512.5
85840,-6512.5
85841,-6512.5
85842,-6512.5
85843,-6512.5
85844,-6512.5
85845,-6512.5
85846,-6512.5
85847,-6512.5
85848,-6512.5
85849,-6512.5
85850,-6512.5
85851,-6512.5
85852,-6512.5
85853,-6512.5
85854,-6512.5
85855,-6512.5
85856,-6512.5
85857,-6512.5
85858,-6512.5
85859,-6512.5
85860,-6512.5
85861,-6512.5
85862,-6512.5
85863,-6512.5
85864,-6512.5
85865,-6512.5
85866,-6512.5
85867,-7037.5
85868,-9487.5
85869,-14912.5
85870,-11237.5
85871,-10362.5
85872,-6950.0
85873,-6862.5
85874,-5637.5
85875,-7475.0
85876,-10275.0
85877,-7475.0
85878,-8175.0
85879,-5375.0
85880,-5287.5
85881,-3100.0
85882,-3100.0
85883,-3887.5
85884,-4237.5
85885,-6075.0
85886,-7125.0
85887,-7037.5
85888,-5725.0
85889,-5725.0
85890,-5725.0
85891,-5725.0
85892,-5725.0
85893,-5725.0
85894,-5725.0
85895,-5725.0
85896,-5725.0
85897,-5725.0
85898,-5725.0
85899,-5725.0
85900,-5725.0
