,0
85600,0.0
85601,0.0
85602,0.0
85603,0.0
85604,0.0
85605,0.0
85606,0.0
85607,0.0
85608,0.0
85609,0.0
85610,0.0
85611,0.0
85612,0.0
85613,0.0
85614,0.0
85615,0.0
85616,0.0
85617,0.0
85618,0.0
85619,0.0
85620,0.0
85621,0.0
85622,0.0
85623,0.0
85624,0.0
85625,0.0
85626,-1375.0
85627,-3625.0
85628,-3625.0
85629,-3625.0
85630,-3625.0
85631,-3625.0
85632,-3625.0
85633,-3625.0
85634,-3625.0
85635,-3625.0
85636,-3625.0
85637,-3625.0
85638,-3625.0
85639,-3625.0
85640,-3625.0
85641,-3625.0
85642,-3625.0
85643,-3625.0
85644,-3625.0
85645,-3625.0
85646,-3625.0
85647,-3625.0
85648,-3625.0
85649,-3625.0
85650,-3625.0
85651,-3625.0
85652,-3625.0
85653,-3625.0
85654,-3625.0
85655,-3625.0
85656,-3625.0
85657,-3625.0
85658,-3625.0
85659,-3625.0
85660,-3625.0
85661,-3625.0
85662,-3625.0
85663,-3625.0
85664,-3625.0
85665,-3625.0
85666,-3625.0
85667,-3625.0
85668,-3625.0
85669,-3625.0
85670,-3625.0
85671,-3625.0
85672,-3625.0
85673,-3625.0
85674,-3625.0
85675,-3625.0
85676,-3625.0
85677,-3625.0
85678,-3625.0
85679,-3625.0
85680,-3625.0
85681,-3625.0
85682,-3625.0
85683,-3625.0
85684,-3625.0
85685,-3625.0
85686,-3625.0
85687,-3625.0
85688,-3625.0
85689,-3500.0
85690,-3500.0
85691,-3500.0
85692,-3500.0
85693,-3500.0
85694,-3500.0
85695,-4750.0
85696,-4750.0
85697,-4375.0
85698,-4375.0
85699,-4375.0
85700,-4375.0
85701,-4375.0
85702,-4375.0
85703,-4375.0
85704,-4375.0
85705,-2250.0
85706,-2250.0
85707,-2250.0
85708,-2250.0
85709,-2250.0
85710,-2250.0
85711,-2250.0
85712,-2250.0
85713,-2250.0
85714,-2250.0
85715,-2250.0
85716,-2250.0
85717,-2250.0
85718,-2250.0
85719,-2250.0
85720,-2250.0
85721,-2250.0
85722,-2250.0
85723,-2250.0
85724,-2250.0
85725,-2250.0
85726,-2250.0
85727,-2250.0
85728,-3150.0
85729,-2475.0
85730,-3600.0
85731,-3600.0
85732,-3600.0
85733,-3600.0
85734,-3600.0
85735,-3600.0
85736,-3600.0
85737,-3600.0
85738,-3600.0
85739,-3600.0
85740,-3600.0
85741,-3600.0
85742,-3600.0
85743,-3600.0
85744,-3600.0
85745,-3600.0
85746,-3487.5
85747,-2362.5
85748,-2362.5
85749,-2362.5
85750,-2362.5
85751,-2362.5
85752,-2362.5
85753,-2362.5
85754,-2362.5
85755,-2362.5
85756,-2362.5
85757,-2362.5
85758,-2362.5
85759,-2362.5
85760,-2362.5
85761,-2362.5
85762,-2362.5
85763,-2362.5
85764,-2362.5
85765,-2362.5
85766,-2362.5
85767,-2362.5
85768,-2362.5
85769,-2362.5
85770,-2362.5
85771,-2362.5
85772,-2362.5
85773,-2362.5
85774,-2362.5
85775,-2362.5
85776,-2362.5
85777,-2362.5
85778,-2362.5
85779,-2362.5
85780,-2362.5
85781,-2362.5
85782,-9450.0
85783,-9450.0
85784,-7762.5
85785,-7762.5
85786,-7762.5
85787,-7762.5
85788,-7762.5
85789,-7762.5
85790,-7762.5
85791,-7762.5
85792,-7762.5
85793,-7762.5
85794,-7762.5
85795,-7762.5
85796,-7762.5
85797,-7762.5
85798,-7762.5
85799,-7762.5
85800,-7762.5
85801,-7762.5
85802,-7762.5
85803,-7762.5
85804,-7762.5
85805,-7762.5
85806,-7762.5
85807,-7762.5
85808,-7762.5
85809,-7762.5
85810,-7762.5
85811,-7762.5
85812,-7762.5
85813,-7762.5
85814,-7762.5
85815,-7762.5
85816,-7762.5
85817,-7762.5
85818,-7762.5
85819,-7762.5
85820,-7762.5
85821,-7762.5
85822,-7762.5
85823,-7762.5
85824,-7762.5
85825,-7762.5
85826,-7762.5
85827,-7762.5
85828,-7762.5
85829,-7762.5
85830,-7762.5
85831,-7762.5
85832,-7762.5
85833,-7762.5
85834,-7762.5
85835,-7762.5
85836,-7762.5
85837,-7762.5
85838,-7762.5
85839,-7762.5
85840,-7762.5
85841,-7762.5
85842,-7762.5
85843,-7762.5
85844,-7762.5
85845,-7762.5
85846,-7762.5
85847,-7762.5
85848,-7762.5
85849,-7762.5
85850,-7762.5
85851,-7762.5
85852,-7762.5
85853,-7762.5
85854,-7762.5
85855,-7762.5
85856,-7762.5
85857,-7762.5
85858,-7762.5
85859,-7762.5
85860,-7762.5
85861,-7762.5
85862,-7762.5
85863,-7762.5
85864,-7762.5
85865,-7762.5
85866,-7762.5
85867,-8287.5
85868,-10737.5
85869,-16162.5
85870,-12487.5
85871,-11612.5
85872,-8200.0
85873,-8112.5
85874,-6887.5
85875,-8725.0
85876,-11525.0
85877,-8725.0
85878,-9425.0
85879,-6625.0
85880,-6537.5
85881,-4350.0
85882,-4350.0
85883,-5137.5
85884,-5487.5
85885,-7325.0
85886,-8375.0
85887,-8287.5
85888,-6975.0
85889,-6975.0
85890,-6975.0
85891,-6975.0
85892,-6975.0
85893,-6975.0
85894,-6975.0
85895,-6975.0
85896,-6975.0
85897,-6975.0
85898,-6975.0
85899,-6975.0
85900,-6975.0
