,0
85602,0.0
85603,0.0
85604,0.0
85605,0.0
85606,0.0
85607,0.0
85608,0.0
85609,0.0
85610,0.0
85611,0.0
85612,0.0
85613,0.0
85614,0.0
85615,0.0
85616,0.0
85617,0.0
85618,0.0
85619,0.0
85620,0.0
85621,0.0
85622,0.0
85623,0.0
85624,0.0
85625,0.0
85626,0.0
85627,0.0
85628,0.0
85629,-287.5
85630,-712.5
85631,-525.0
85632,-750.0
85633,-562.5
85634,-562.5
85635,-562.5
85636,-562.5
85637,-562.5
85638,-562.5
85639,-562.5
85640,-562.5
85641,-562.5
85642,-562.5
85643,-562.5
85644,-562.5
85645,-562.5
85646,-562.5
85647,-562.5
85648,-562.5
85649,-562.5
85650,-562.5
85651,-562.5
85652,-562.5
85653,-562.5
85654,-562.5
85655,-562.5
85656,-562.5
85657,-562.5
85658,-562.5
85659,-562.5
85660,-562.5
85661,-562.5
85662,-562.5
85663,-562.5
85664,-562.5
85665,-562.5
85666,-562.5
85667,-600.0
85668,-600.0
85669,-600.0
85670,-600.0
85671,-600.0
85672,-600.0
85673,-600.0
85674,-600.0
85675,-600.0
85676,-600.0
85677,-600.0
85678,-600.0
85679,-600.0
85680,-600.0
85681,-600.0
85682,-600.0
85683,-600.0
85684,-600.0
85685,-600.0
85686,-600.0
85687,-600.0
85688,-600.0
85689,-600.0
85690,-600.0
85691,-600.0
85692,-600.0
85693,-600.0
85694,-600.0
85695,-725.0
85696,-725.0
85697,-675.0
85698,-675.0
85699,-675.0
85700,-675.0
85701,-675.0
85702,-675.0
85703,-675.0
85704,-675.0
85705,-487.5
85706,-1187.5
85707,-1187.5
85708,-1187.5
85709,-1187.5
85710,-1187.5
85711,-1187.5
85712,-1187.5
85713,-1187.5
85714,-1187.5
85715,-1187.5
85716,-1187.5
85717,-1187.5
85718,-1187.5
85719,-1062.5
85720,-1062.5
85721,-1062.5
85722,-1062.5
85723,-1062.5
85724,-1062.5
85725,-1062.5
85726,-1062.5
85727,-1062.5
85728,-1162.5
85729,-1087.5
85730,-1200.0
85731,-1200.0
85732,-1200.0
85733,-1200.0
85734,-1200.0
85735,-1200.0
85736,-1200.0
85737,-1200.0
85738,-1200.0
85739,-1200.0
85740,-1200.0
85741,-1200.0
85742,-1200.0
85743,-1200.0
85744,-1200.0
85745,-1200.0
85746,-1187.5
85747,-1050.0
85748,-1050.0
85749,-1050.0
85750,-1050.0
85751,-1050.0
85752,-1050.0
85753,-1050.0
85754,-1050.0
85755,-1050.0
85756,-1050.0
85757,-1050.0
85758,-1050.0
85759,-1050.0
85760,-1050.0
85761,-1050.0
85762,-1050.0
85763,-1050.0
85764,-1050.0
85765,-1050.0
85766,-1050.0
85767,-1050.0
85768,-1050.0
85769,-1050.0
85770,-1050.0
85771,-1050.0
85772,-1050.0
85773,-1050.0
85774,-1050.0
