trade_id,entry_bar,exit_bar,entry_time,exit_time,direction,size,entry_price,exit_price,hold_bars,gross_pnl,commission,slippage_cost,net_pnl,entry_signal,exit_reason
1,26,31,2024-04-29 13:30:00+00:00,2024-04-29 13:55:00+00:00,LONG,10,5154.0,5142.25,5,-587.5,25.0,25.0,-637.5,toxic_cont,time_exit
2,64,65,2024-04-29 16:40:00+00:00,2024-04-29 16:45:00+00:00,LONG,10,5148.0,5146.75,1,-62.5,25.0,25.0,-112.5,toxic_cont,time_exit
3,86,87,2024-04-29 18:30:00+00:00,2024-04-29 18:35:00+00:00,SHORT,10,5136.5,5137.0,1,-25.0,25.0,25.0,-75.0,toxic_rev,time_exit
4,92,93,2024-04-29 19:00:00+00:00,2024-04-29 19:05:00+00:00,SHORT,10,5124.75,5127.75,1,-150.0,25.0,25.0,-200.0,toxic_rev,time_exit
5,94,95,2024-04-29 19:10:00+00:00,2024-04-29 19:15:00+00:00,LONG,10,5129.5,5130.0,1,25.0,25.0,25.0,-25.0,toxic_cont,time_exit
6,102,105,2024-04-29 19:50:00+00:00,2024-04-30 13:35:00+00:00,LONG,10,5143.5,5132.75,3,-537.5,25.0,25.0,-587.5,toxic_cont,time_exit
7,116,117,2024-04-30 14:30:00+00:00,2024-04-30 14:35:00+00:00,LONG,10,5128.75,5130.75,1,100.0,25.0,25.0,50.0,toxic_cont,time_exit
8,125,128,2024-04-30 15:15:00+00:00,2024-04-30 15:30:00+00:00,LONG,10,5114.75,5111.5,3,-162.5,25.0,25.0,-212.5,toxic_cont,time_exit
9,143,145,2024-04-30 16:45:00+00:00,2024-04-30 16:55:00+00:00,LONG,10,5095.0,5097.5,2,125.0,25.0,25.0,75.0,toxic_cont,time_exit
10,181,182,2024-04-30 19:55:00+00:00,2024-05-01 13:30:00+00:00,SHORT,10,5065.0,5061.5,1,175.0,25.0,25.0,125.0,toxic_rev,time_exit
11,264,269,2024-05-02 13:50:00+00:00,2024-05-02 14:15:00+00:00,LONG,10,5063.0,5051.25,5,-587.5,25.0,25.0,-637.5,toxic_cont,time_exit
12,270,275,2024-05-02 14:20:00+00:00,2024-05-02 14:45:00+00:00,LONG,10,5061.5,5059.5,5,-100.0,25.0,25.0,-150.0,toxic_cont,time_exit
13,277,282,2024-05-02 14:55:00+00:00,2024-05-02 15:20:00+00:00,LONG,10,5066.0,5068.0,5,100.0,25.0,25.0,50.0,toxic_cont,time_exit
14,286,288,2024-05-02 15:40:00+00:00,2024-05-02 15:50:00+00:00,LONG,10,5064.25,5069.0,2,237.5,25.0,25.0,187.5,toxic_cont,time_exit
15,304,309,2024-05-02 17:10:00+00:00,2024-05-02 17:35:00+00:00,LONG,10,5076.0,5078.5,5,125.0,25.0,25.0,75.0,toxic_cont,time_exit
16,333,338,2024-05-02 19:35:00+00:00,2024-05-03 13:30:00+00:00,LONG,10,5086.75,5142.75,5,2800.0,25.0,25.0,2750.0,toxic_cont,time_exit
17,348,353,2024-05-03 14:20:00+00:00,2024-05-03 14:45:00+00:00,LONG,10,5136.75,5142.0,5,262.5,25.0,25.0,212.5,toxic_cont,time_exit
18,358,363,2024-05-03 15:10:00+00:00,2024-05-03 15:35:00+00:00,LONG,10,5130.0,5144.75,5,737.5,25.0,25.0,687.5,toxic_cont,time_exit
19,403,404,2024-05-03 18:55:00+00:00,2024-05-03 19:00:00+00:00,LONG,10,5157.25,5158.5,1,62.5,25.0,25.0,12.5,toxic_cont,time_exit
20,414,419,2024-05-03 19:50:00+00:00,2024-05-06 13:45:00+00:00,LONG,10,5156.75,5183.5,5,1337.5,25.0,25.0,1287.5,toxic_cont,time_exit
21,450,453,2024-05-06 16:20:00+00:00,2024-05-06 16:35:00+00:00,LONG,10,5180.75,5185.5,3,237.5,25.0,25.0,187.5,toxic_cont,time_exit
22,474,476,2024-05-06 18:20:00+00:00,2024-05-06 18:30:00+00:00,LONG,10,5195.0,5196.75,2,87.5,25.0,25.0,37.5,toxic_cont,time_exit
23,492,497,2024-05-06 19:50:00+00:00,2024-05-07 13:45:00+00:00,LONG,10,5203.0,5214.25,5,562.5,25.0,25.0,512.5,toxic_cont,time_exit
24,498,499,2024-05-07 13:50:00+00:00,2024-05-07 13:55:00+00:00,LONG,10,5216.5,5212.5,1,-200.0,25.0,25.0,-250.0,toxic_cont,time_exit
25,570,575,2024-05-07 19:50:00+00:00,2024-05-08 13:45:00+00:00,LONG,10,5217.75,5202.25,5,-775.0,25.0,25.0,-825.0,toxic_cont,time_exit
26,576,577,2024-05-08 13:50:00+00:00,2024-05-08 13:55:00+00:00,LONG,10,5203.0,5204.5,1,75.0,25.0,25.0,25.0,toxic_cont,time_exit
27,609,610,2024-05-08 16:35:00+00:00,2024-05-08 16:40:00+00:00,LONG,10,5205.5,5205.0,1,-25.0,25.0,25.0,-75.0,toxic_cont,time_exit
28,614,615,2024-05-08 17:00:00+00:00,2024-05-08 17:05:00+00:00,LONG,10,5207.75,5205.75,1,-100.0,25.0,25.0,-150.0,toxic_cont,time_exit
29,638,639,2024-05-08 19:00:00+00:00,2024-05-08 19:05:00+00:00,LONG,10,5208.75,5209.75,1,50.0,25.0,25.0,0.0,toxic_cont,time_exit
30,647,652,2024-05-08 19:45:00+00:00,2024-05-09 13:40:00+00:00,LONG,10,5216.25,5207.0,5,-462.5,25.0,25.0,-512.5,toxic_cont,time_exit
31,654,655,2024-05-09 13:50:00+00:00,2024-05-09 13:55:00+00:00,LONG,10,5211.25,5213.0,1,87.5,25.0,25.0,37.5,toxic_cont,time_exit
32,656,659,2024-05-09 14:00:00+00:00,2024-05-09 14:15:00+00:00,LONG,10,5217.0,5213.75,3,-162.5,25.0,25.0,-212.5,toxic_cont,time_exit
33,663,665,2024-05-09 14:35:00+00:00,2024-05-09 14:45:00+00:00,LONG,10,5227.5,5227.0,2,-25.0,25.0,25.0,-75.0,toxic_cont,time_exit
