,0
85600,0.0
85601,0.0
85602,0.0
85603,0.0
85604,0.0
85605,0.0
85606,0.0
85607,0.0
85608,0.0
85609,0.0
85610,0.0
85611,0.0
85612,0.0
85613,0.0
85614,0.0
85615,0.0
85616,0.0
85617,0.0
85618,0.0
85619,0.0
85620,0.0
85621,0.0
85622,0.0
85623,0.0
85624,0.0
85625,0.0
85626,-1375.0
85627,-3625.0
85628,-3625.0
85629,-3625.0
85630,-3625.0
85631,-3625.0
85632,-5875.0
85633,-4000.0
85634,-2875.0
85635,-2875.0
85636,-2875.0
85637,-2875.0
85638,-2875.0
85639,-2875.0
85640,-2875.0
85641,-2875.0
85642,-2875.0
85643,-2875.0
85644,-2875.0
85645,-2875.0
85646,-2875.0
85647,-2875.0
85648,-2875.0
85649,-2875.0
85650,-2875.0
85651,-2875.0
85652,-2875.0
85653,-2875.0
85654,-2875.0
85655,-2875.0
85656,-2875.0
85657,-2875.0
85658,-2875.0
85659,-2875.0
85660,-2875.0
85661,-2875.0
85662,-2875.0
85663,-2875.0
85664,-2875.0
85665,-2875.0
85666,-2875.0
85667,-2875.0
85668,-2875.0
85669,-2875.0
85670,-2875.0
85671,-2875.0
85672,-2875.0
85673,-2875.0
85674,-2875.0
85675,-2875.0
85676,-2875.0
85677,-2875.0
85678,-2875.0
85679,-2875.0
85680,-2875.0
85681,-2875.0
85682,-2875.0
85683,-2875.0
85684,-2875.0
85685,-2875.0
85686,-2875.0
85687,-2875.0
85688,-2875.0
85689,-2775.0
85690,-2775.0
85691,-2775.0
85692,-2775.0
85693,-2775.0
85694,-2775.0
85695,-3775.0
85696,-3775.0
85697,-3475.0
85698,-2875.0
85699,-2475.0
85700,-2475.0
85701,-2475.0
85702,-2475.0
85703,-2475.0
85704,-2475.0
85705,-775.0
85706,-775.0
85707,-775.0
85708,1925.0
85709,1925.0
85710,1925.0
85711,1925.0
85712,1925.0
85713,1925.0
85714,1925.0
85715,1925.0
85716,1925.0
85717,1925.0
85718,1925.0
85719,2825.0
85720,2825.0
85721,2825.0
85722,2825.0
85723,2825.0
85724,2825.0
85725,2825.0
85726,2825.0
85727,2825.0
85728,2025.0
85729,2625.0
85730,1625.0
85731,1625.0
85732,1625.0
85733,1625.0
85734,1625.0
85735,1625.0
85736,1625.0
85737,1625.0
85738,1625.0
85739,1625.0
85740,1625.0
85741,1625.0
85742,1625.0
85743,1625.0
85744,1625.0
85745,1625.0
85746,1725.0
85747,2725.0
85748,2725.0
85749,2725.0
85750,2725.0
85751,2725.0
85752,2725.0
85753,2725.0
85754,2725.0
85755,2725.0
85756,2725.0
85757,2725.0
85758,2725.0
85759,2725.0
85760,2725.0
85761,2725.0
85762,2725.0
85763,2725.0
85764,2725.0
85765,2725.0
85766,2725.0
85767,2725.0
85768,2725.0
85769,2725.0
85770,2725.0
85771,2725.0
85772,2725.0
85773,2725.0
85774,2725.0
85775,2725.0
85776,2725.0
85777,2725.0
85778,2725.0
85779,2725.0
85780,2725.0
85781,2725.0
85782,-4362.5
85783,-4362.5
85784,-2675.0
85785,-2675.0
85786,-2675.0
85787,-2675.0
85788,-4025.0
85789,-3462.5
85790,-3462.5
85791,-3462.5
85792,-3462.5
85793,-3462.5
85794,-3462.5
85795,-3462.5
85796,-3462.5
85797,-3462.5
85798,-3462.5
85799,-3462.5
85800,-3462.5
85801,-3462.5
85802,-3462.5
85803,-3462.5
85804,-3462.5
85805,-3462.5
85806,-3462.5
85807,-3462.5
85808,-3462.5
85809,-3462.5
85810,-3462.5
85811,-3462.5
85812,-3462.5
85813,-3462.5
85814,-3462.5
85815,-3462.5
85816,-3462.5
85817,-3462.5
85818,-3462.5
85819,-3462.5
85820,-3462.5
85821,-3462.5
85822,-3462.5
85823,-3462.5
85824,-3462.5
85825,-3462.5
85826,-3462.5
85827,-3462.5
85828,-3462.5
85829,-3462.5
85830,-3462.5
85831,-3462.5
85832,-3462.5
85833,-3462.5
85834,-3462.5
85835,-3462.5
85836,-3462.5
85837,-3462.5
85838,-3462.5
85839,-3462.5
85840,-3462.5
85841,-3462.5
85842,-3462.5
85843,-3462.5
85844,-3462.5
85845,-3462.5
85846,-3462.5
85847,-3462.5
85848,-3462.5
85849,-3462.5
85850,-3462.5
85851,-3462.5
85852,-3462.5
85853,-3462.5
85854,-3462.5
85855,-3462.5
85856,-3462.5
85857,-3462.5
85858,-3462.5
85859,-3462.5
85860,-3462.5
85861,-3462.5
85862,-3462.5
85863,-3462.5
85864,-3462.5
85865,-3462.5
85866,-3462.5
85867,-3462.5
85868,-3462.5
85869,-3462.5
85870,-3462.5
85871,-3462.5
85872,-3462.5
85873,-3462.5
85874,-3462.5
85875,-3462.5
85876,-3462.5
85877,-3462.5
85878,-3462.5
85879,-3462.5
85880,-3462.5
85881,-3462.5
85882,-3462.5
85883,-3462.5
85884,-3462.5
85885,-3462.5
85886,-3462.5
85887,-3462.5
85888,-3462.5
85889,-3462.5
85890,-3462.5
85891,-3462.5
85892,-3462.5
85893,-3462.5
85894,-3462.5
85895,-3462.5
85896,-3462.5
85897,-3462.5
85898,-3462.5
85899,-3462.5
85900,-3462.5
85901,-3462.5
85902,-3462.5
85903,-3462.5
85904,-3462.5
85905,-3462.5
85906,-3462.5
85907,-3462.5
85908,-3462.5
