trade_id,entry_bar,exit_bar,entry_time,exit_time,direction,size,entry_price,exit_price,hold_bars,gross_pnl,commission,slippage_cost,net_pnl,entry_signal,exit_reason
1,25,27,2024-04-26 19:45:00+00:00,2024-04-26 19:55:00+00:00,LONG,10,5137.0,5129.25,2,-3875.0,25.0,250.0,-4150.0,toxic_cont,time_exit
2,31,34,2024-04-29 13:45:00+00:00,2024-04-29 14:00:00+00:00,LONG,10,5143.5,5144.5,3,500.0,25.0,250.0,225.0,toxic_cont,time_exit
3,88,89,2024-04-29 18:30:00+00:00,2024-04-29 18:35:00+00:00,SHORT,8,5136.5,5136.75,1,-100.0,20.0,200.0,-320.0,toxic_rev,time_exit
4,94,95,2024-04-29 19:00:00+00:00,2024-04-29 19:05:00+00:00,SHORT,8,5124.75,5127.75,1,-1200.0,20.0,200.0,-1420.0,toxic_rev,time_exit
5,96,99,2024-04-29 19:10:00+00:00,2024-04-29 19:25:00+00:00,LONG,8,5129.5,5132.25,3,1100.0,20.0,200.0,880.0,toxic_cont,time_exit
6,104,105,2024-04-29 19:50:00+00:00,2024-04-29 19:55:00+00:00,LONG,8,5143.25,5147.0,1,1500.0,20.0,200.0,1280.0,toxic_cont,time_exit
7,106,108,2024-04-30 13:30:00+00:00,2024-04-30 13:40:00+00:00,LONG,8,5133.25,5139.5,2,2500.0,20.0,200.0,2280.0,toxic_cont,time_exit
8,118,119,2024-04-30 14:30:00+00:00,2024-04-30 14:35:00+00:00,LONG,8,5128.75,5130.5,1,700.0,20.0,200.0,480.0,toxic_cont,time_exit
9,127,130,2024-04-30 15:15:00+00:00,2024-04-30 15:30:00+00:00,LONG,8,5114.75,5111.25,3,-1400.0,20.0,200.0,-1620.0,toxic_cont,time_exit
10,145,147,2024-04-30 16:45:00+00:00,2024-04-30 16:55:00+00:00,LONG,8,5095.0,5097.25,2,900.0,20.0,200.0,680.0,toxic_cont,time_exit
11,181,182,2024-04-30 19:45:00+00:00,2024-04-30 19:50:00+00:00,LONG,9,5096.0,5079.75,1,-7312.5,22.5,225.0,-7560.0,toxic_cont,time_exit
12,183,184,2024-04-30 19:55:00+00:00,2024-05-01 13:30:00+00:00,SHORT,9,5064.75,5061.5,1,1462.5,22.5,225.0,1215.0,toxic_rev,time_exit
13,187,189,2024-05-01 13:45:00+00:00,2024-05-01 13:55:00+00:00,LONG,9,5054.0,5051.75,2,-1012.5,22.5,225.0,-1260.0,toxic_cont,time_exit
14,328,331,2024-05-02 19:00:00+00:00,2024-05-02 19:15:00+00:00,LONG,7,5093.75,5092.5,3,-437.5,17.5,175.0,-630.0,toxic_cont,time_exit
15,335,339,2024-05-02 19:35:00+00:00,2024-05-02 19:55:00+00:00,LONG,7,5086.75,5091.5,4,1662.5,17.5,175.0,1470.0,toxic_cont,time_exit
16,340,345,2024-05-03 13:30:00+00:00,2024-05-03 13:55:00+00:00,SHORT,7,5142.75,5157.5,5,-5162.5,17.5,175.0,-5355.0,toxic_rev,time_exit
17,350,365,2024-05-03 14:20:00+00:00,2024-05-03 15:35:00+00:00,LONG,7,5136.75,5144.5,15,2712.5,17.5,175.0,2520.0,toxic_cont,time_exit
18,416,417,2024-05-03 19:50:00+00:00,2024-05-03 19:55:00+00:00,LONG,9,5157.0,5154.0,1,-1350.0,22.5,225.0,-1597.5,toxic_cont,time_exit
19,418,423,2024-05-06 13:30:00+00:00,2024-05-06 13:55:00+00:00,LONG,9,5177.5,5183.25,5,2587.5,22.5,225.0,2340.0,toxic_cont,time_exit
20,452,453,2024-05-06 16:20:00+00:00,2024-05-06 16:25:00+00:00,LONG,9,5180.75,5182.75,1,900.0,22.5,225.0,652.5,toxic_cont,time_exit
21,477,478,2024-05-06 18:25:00+00:00,2024-05-06 18:30:00+00:00,LONG,9,5197.75,5197.0,1,-337.5,22.5,225.0,-585.0,toxic_cont,time_exit
22,494,495,2024-05-06 19:50:00+00:00,2024-05-06 19:55:00+00:00,LONG,9,5203.0,5206.75,1,1687.5,22.5,225.0,1440.0,toxic_cont,time_exit
23,496,501,2024-05-07 13:30:00+00:00,2024-05-07 13:55:00+00:00,LONG,9,5218.75,5212.75,5,-2700.0,22.5,225.0,-2947.5,toxic_cont,time_exit
24,550,552,2024-05-07 18:00:00+00:00,2024-05-07 18:10:00+00:00,LONG,9,5215.0,5212.5,2,-1125.0,22.5,225.0,-1372.5,toxic_cont,time_exit
25,572,573,2024-05-07 19:50:00+00:00,2024-05-07 19:55:00+00:00,LONG,9,5217.75,5212.0,1,-2587.5,22.5,225.0,-2835.0,toxic_cont,time_exit
26,574,578,2024-05-08 13:30:00+00:00,2024-05-08 13:50:00+00:00,LONG,9,5196.0,5202.75,4,3037.5,22.5,225.0,2790.0,toxic_cont,time_exit
27,611,612,2024-05-08 16:35:00+00:00,2024-05-08 16:40:00+00:00,LONG,9,5205.5,5205.25,1,-112.5,22.5,225.0,-360.0,toxic_cont,time_exit
28,616,617,2024-05-08 17:00:00+00:00,2024-05-08 17:05:00+00:00,LONG,9,5207.5,5206.0,1,-675.0,22.5,225.0,-922.5,toxic_cont,time_exit
29,640,641,2024-05-08 19:00:00+00:00,2024-05-08 19:05:00+00:00,LONG,10,5208.75,5209.5,1,375.0,25.0,250.0,100.0,toxic_cont,time_exit
30,649,651,2024-05-08 19:45:00+00:00,2024-05-08 19:55:00+00:00,LONG,10,5216.0,5211.5,2,-2250.0,25.0,250.0,-2525.0,toxic_cont,time_exit
31,665,667,2024-05-09 14:35:00+00:00,2024-05-09 14:45:00+00:00,LONG,10,5227.25,5227.25,2,0.0,25.0,250.0,-275.0,toxic_cont,time_exit
